1,Data,201,1
2,Information,1,1
3,Knowledge,2,1
4,Data Types,1,1
5,Data Structures,4,1
6,Data Storage,5,3
7,Data Processing,5,4
8,Data Collection,1,4
9,Data Input,8,4
10,Data Output,7,4
11,Data Flow,9|10,4
12,Data Lifecycle,8|6|7|10,5
13,Data Modeling,5,2
14,Data Analysis,7,7
15,Data Visualization,14,7
16,Database,5|6,3
17,Relational Databases,16,3
18,Non-relational Databases,16,3
19,Structured Data,1,3
20,Unstructured Data,1,3
21,Semi-structured Data,1,3
22,Data Warehouse,16,3
23,Data Mart,22,3
24,Data Lake,16,3
25,Data Integration,16|7,4
26,Data Migration,16|25,4
27,Data Transformation,7|25,4
28,Data Quality,1,5
29,Data Validation,28,5
30,Data Cleansing,28,5
31,Data Profiling,28,5
32,Data Governance,28,5
33,Data Management,32,5
34,Data Architecture,33,2
35,Enterprise Architecture,34,2
36,Metadata,1,2
37,Master Data,36,5
38,Transactional Data,1,3
39,Operational Data,1,3
40,Analytical Data,1,3
41,Data Security,1,6
42,Data Privacy,41,6
43,Data Compliance,41,6
44,Data Standards,33,5
45,Data Policies,33,5
46,Data Stewardship,33,5
47,Data Ownership,33,5
48,Data Lineage,36,5
49,Data Catalog,36,5
50,Data Discovery,49,5
51,Data Classification,36,5
52,Data Segmentation,51,5
53,Data Encryption,41,6
54,Data Masking,41,6
55,Data Anonymization,41,6
56,Data Retention,45,5
57,Data Disposal,56,5
58,Information Lifecycle Management,12|45,5
59,Data Strategy,33,10
60,Data Governance Frameworks,32,5
61,Data Governance Models,32,5
62,Data Stewardship Roles,46,5
63,Chief Data Officer,33,10
64,Data Literacy,33,10
65,Data Culture,33,10
66,Data-Driven Decision Making,14,10
67,Business Intelligence,14|16,7
68,Data Analytics,14,7
69,Big Data,1,8
70,Data Mining,68,7
71,Data Science,68,7
72,Data Engineering,33,9
73,Data Visualization Techniques,15,7
74,Data Interpretation,14,7
75,Predictive Analytics,68,7
76,Prescriptive Analytics,68,7
77,Descriptive Analytics,68,7
78,Diagnostic Analytics,68,7
79,Artificial Intelligence,71,7
80,Machine Learning,71,7
81,Deep Learning,80,7
82,Neural Networks,81,7
83,Natural Language Processing,80,7
84,Data Ethics,41,10
85,Data Bias,84,10
86,Data Quality Metrics,28,5
87,Data Harmonization,25,5
88,Data Enrichment,25,5
89,Data Standardization,44,5
90,Data Virtualization,25,9
91,Data Federation,25,9
92,Data Orchestration,25,9
93,Data Pipelines,25,9
94,Extract, Transform, Load Processes,25|27,4
95,Real-Time Data Processing,7,4
96,Batch Processing,7,4
97,Stream Processing,7,4
98,In-Memory Data Processing,7,4
99,Edge Computing,95,4
100,Internet of Things Data,99,3
101,Sensor Data,100,3
102,Cloud Computing,6,3
103,On-Premises Data Storage,6,3
104,Hybrid Cloud,102|103,3
105,Public Cloud,102,3
106,Private Cloud,102,3
107,Multi-Cloud Strategy,102,3
108,Software as a Service,102,3
109,Platform as a Service,102,3
110,Infrastructure as a Service,102,3
111,Data as a Service,102,3
112,Data Access,41,6
113,Application Programming Interfaces,112,9
114,Microservices Architecture,113,9
